quarter,year,ics
Q1,1960,100
Q2,1960,93.3
Q3,1960,97.2
Q4,1960,90.1
Q1,1961,91.6
Q2,1961,92.5
Q3,1961,99.2
Q4,1961,93
Q1,1962,99.9
Q2,1962,95.4
Q3,1962,91.6
Q4,1962,95
Q1,1963,98.4
Q2,1963,91.7
Q3,1963,96.4
Q4,1963,94.4
Q1,1964,99.5
Q2,1964,98.5
Q3,1964,100.6
Q4,1964,99.9
Q1,1965,102
Q2,1965,105.4
Q3,1965,103.4
Q4,1965,102.9
Q1,1966,100
Q2,1966,95.7
Q3,1966,91.2
Q4,1966,88.3
Q1,1967,94.1
Q2,1967,95.9
Q3,1967,97
Q4,1967,92.9
Q1,1968,97.2
Q2,1968,92.4
Q3,1968,92.4
Q4,1968,91.7
Q1,1969,98.2
Q2,1969,91.5
Q3,1969,86.4
Q4,1969,79.7
Q1,1970,78.1
Q2,1970,75.4
Q3,1970,77.6
Q4,1970,72.4
Q1,1971,78.1
Q2,1971,80.2
Q3,1971,82.1
Q4,1971,82
Q1,1972,92.8
Q2,1972,88.6
Q3,1972,95.2
Q4,1972,90.7
Q1,1973,81.9
Q2,1973,77
Q3,1973,72
Q4,1973,76.5
Q1,1974,61.8
Q2,1974,72.1
Q3,1974,64.4
Q4,1974,59.5
Q1,1975,57.6
Q2,1975,72.8
Q3,1975,75.7
Q4,1975,75.6
Q1,1976,84.6
Q2,1976,83.3
Q3,1976,89.7
Q4,1976,87
Q1,1977,87.1
Q2,1977,90.2
Q3,1977,89
Q4,1977,84.4
Q1,1978,82.6
Q2,1978,81.8
Q3,1978,80
Q4,1978,73.8
Q1,1979,71.9
Q2,1979,66.7
Q3,1979,63.7
Q4,1979,62.3
Q1,1980,63.9
Q2,1980,54.4
Q3,1980,67.8
Q4,1980,72
Q1,1981,68.3
Q2,1981,73.9
Q3,1981,74.8
Q4,1981,65.7
Q1,1982,66.6
Q2,1982,66.2
Q3,1982,66.7
Q4,1982,72.5
Q1,1983,75
Q2,1983,91.5
Q3,1983,91.2
Q4,1983,91.6
Q1,1984,99.5
Q2,1984,96.6
Q3,1984,98.9
Q4,1984,95
Q1,1985,94.5
Q2,1985,94.3
Q3,1985,92.8
Q4,1985,91
Q1,1986,95.5
Q2,1986,96.8
Q3,1986,94.9
Q4,1986,92
Q1,1987,90.5
Q2,1987,91.8
Q3,1987,93.9
Q4,1987,86.4
Q1,1988,92.3
Q2,1988,93.5
Q3,1988,96
Q4,1988,93
Q1,1989,95.9
Q2,1989,90.9
Q3,1989,92.5
Q4,1989,91.8
Q1,1990,91.3
Q2,1990,90.9
Q3,1990,79.1
Q4,1990,65.2
Q1,1991,74.8
Q2,1991,80.8
Q3,1991,82.6
Q4,1991,71.9
Q1,1992,70.7
Q2,1992,78.9
Q3,1992,76.1
Q4,1992,83.3
Q1,1993,87.3
Q2,1993,82.5
Q3,1993,77.4
Q4,1993,84.1
Q1,1994,93
Q2,1994,92.2
Q3,1994,90.7
Q4,1994,93.1
Q1,1995,94.3
Q2,1995,91.7
Q3,1995,93.1
Q4,1995,89.8
Q1,1996,90.5
Q2,1996,91.5
Q3,1996,94.9
Q4,1996,97.5
Q1,1997,99
Q2,1997,103
Q3,1997,105.8
Q4,1997,105
Q1,1998,107.8
Q2,1998,106.9
Q3,1998,103.5
Q4,1998,100.2
Q1,1999,105.9
Q2,1999,106.2
Q3,1999,105.9
Q4,1999,105.2
Q1,2000,110.1
Q2,2000,108.8
Q3,2000,107.5
Q4,2000,103.9
Q1,2001,92.3
Q2,2001,91
Q3,2001,88.5
Q4,2001,85.1
Q1,2002,93.1
Q2,2002,94.1
Q3,2002,87.3
Q4,2002,83.8
Q1,2003,80
Q2,2003,89.3
Q3,2003,89.3
Q4,2003,92
Q1,2004,98.1
Q2,2004,93.4
Q3,2004,95.6
Q4,2004,93.9
Q1,2005,94.1
Q2,2005,90.2
Q3,2005,87.4
Q4,2005,82.4
Q1,2006,88.9
Q2,2006,83.8
Q3,2006,84
Q4,2006,92.5
Q1,2007,92.2
Q2,2007,86.9
Q3,2007,85.8
Q4,2007,77.5
Q1,2008,72.9
Q2,2008,59.6
Q3,2008,64.8
Q4,2008,57.7
Q1,2009,58.3
Q2,2009,68.2
Q3,2009,68.4
Q4,2009,70.1
Q1,2010,73.9
Q2,2010,73.9
Q3,2010,68.3
Q4,2010,71.2
Q1,2011,73.1
Q2,2011,71.9
Q3,2011,59.5
Q4,2011,64.7
Q1,2012,75.5
Q2,2012,76.3
Q3,2012,75
Q4,2012,79.4
Q1,2013,76.7
Q2,2013,81.7
Q3,2013,81.6
Q4,2013,76.9
Q1,2014,80.9
Q2,2014,82.8
Q3,2014,83
Q4,2014,89.8
Q1,2015,95.5
Q2,2015,94.2
Q3,2015,90.8
Q4,2015,91.3
Q1,2016,91.5
Q2,2016,92.4
Q3,2016,90.3
Q4,2016,93.2
Q1,2017,97.2
Q2,2017,96.4
Q3,2017,95.1
Q4,2017,98.4
Q1,2018,98.9
Q2,2018,98.3
Q3,2018,98.1
Q4,2018,98.2
Q1,2019,94.5
Q2,2019,98.4
Q3,2019,93.8
Q4,2019,97.2
Q1,2020,96.4
Q2,2020,74
Q3,2020,75.6
Q4,2020,79.8
Q1,2021,80.2
Q2,2021,85.6
Q3,2021,74.8
Q4,2021,69.9
Q1,2022,63.1
Q2,2022,57.8
Q3,2022,56.1
Q4,2022,58.8
Q1,2023,64.6
Q2,2023,62.3
Q3,2023,69.6
Q4,2023,64.9
Q1,2024,78.4
Q2,2024,71.1
Q3,2024,68.1