"","candidate_id","contribution_receipt_amount","contribution_state","election_year","party"
"1","P00000002",1190332,"AK",2008,"Democrat"
"2","P00000003",541452,"AK",2008,"Republican"
"3","P00000002",2994807,"AL",2008,"Democrat"
"4","P00000003",3059290,"AL",2008,"Republican"
"5","P00000002",2857062,"AR",2008,"Democrat"
"6","P00000003",2418661,"AR",2008,"Republican"
"7","P00000002",7709253,"AZ",2008,"Democrat"
"8","P00000003",10142665,"AZ",2008,"Republican"
"9","P00000002",133753963,"CA",2008,"Democrat"
"10","P00000003",43873131,"CA",2008,"Republican"
"11","P00000002",14071947,"CO",2008,"Democrat"
"12","P00000003",6120313,"CO",2008,"Republican"
"13","P00000002",17440203,"CT",2008,"Democrat"
"14","P00000003",7214294,"CT",2008,"Republican"
"15","P00000002",34303659,"DC",2008,"Democrat"
"16","P00000003",3169143,"DC",2008,"Republican"
"17","P00000002",2389384,"DE",2008,"Democrat"
"18","P00000003",569160,"DE",2008,"Republican"
"19","P00000002",32903132,"FL",2008,"Democrat"
"20","P00000003",26296615,"FL",2008,"Republican"
"21","P00000002",11791604,"GA",2008,"Democrat"
"22","P00000003",8649530,"GA",2008,"Republican"
"23","P00000002",3453023,"HI",2008,"Democrat"
"24","P00000003",656936,"HI",2008,"Republican"
"25","P00000002",3060056,"IA",2008,"Democrat"
"26","P00000003",1543784,"IA",2008,"Republican"
"27","P00000002",1079402,"ID",2008,"Democrat"
"28","P00000003",1490705,"ID",2008,"Republican"
"29","P00000002",43369224,"IL",2008,"Democrat"
"30","P00000003",11359094,"IL",2008,"Republican"
"31","P00000002",4662446,"IN",2008,"Democrat"
"32","P00000003",2770690,"IN",2008,"Republican"
"33","P00000002",2027002,"KS",2008,"Democrat"
"34","P00000003",2330999,"KS",2008,"Republican"
"35","P00000002",3618144,"KY",2008,"Democrat"
"36","P00000003",1950455,"KY",2008,"Republican"
"37","P00000002",2725599,"LA",2008,"Democrat"
"38","P00000003",3421733,"LA",2008,"Republican"
"39","P00000002",32488205,"MA",2008,"Democrat"
"40","P00000003",9130294,"MA",2008,"Republican"
"41","P00000002",26523973,"MD",2008,"Democrat"
"42","P00000003",5784658,"MD",2008,"Republican"
"43","P00000002",2671562,"ME",2008,"Democrat"
"44","P00000003",682170,"ME",2008,"Republican"
"45","P00000002",9491517,"MI",2008,"Democrat"
"46","P00000003",7786545,"MI",2008,"Republican"
"47","P00000002",7875337,"MN",2008,"Democrat"
"48","P00000003",3383434,"MN",2008,"Republican"
"49","P00000002",6698589,"MO",2008,"Democrat"
"50","P00000003",4864743,"MO",2008,"Republican"
"51","P00000002",1173191,"MS",2008,"Democrat"
"52","P00000003",1948198,"MS",2008,"Republican"
"53","P00000002",1421708,"MT",2008,"Democrat"
"54","P00000003",638106,"MT",2008,"Republican"
"55","P00000002",12813138,"NC",2008,"Democrat"
"56","P00000003",4906788,"NC",2008,"Republican"
"57","P00000002",251002,"ND",2008,"Democrat"
"58","P00000003",290608,"ND",2008,"Republican"
"59","P00000002",1267447,"NE",2008,"Democrat"
"60","P00000003",1024600,"NE",2008,"Republican"
"61","P00000002",3252661,"NH",2008,"Democrat"
"62","P00000003",1672816,"NH",2008,"Republican"
"63","P00000002",22687669,"NJ",2008,"Democrat"
"64","P00000003",9921691,"NJ",2008,"Republican"
"65","P00000002",10658328,"NM",2008,"Democrat"
"66","P00000003",1438159,"NM",2008,"Republican"
"67","P00000002",3780404,"NV",2008,"Democrat"
"68","P00000003",3952036,"NV",2008,"Republican"
"69","P00000002",98543287,"NY",2008,"Democrat"
"70","P00000003",26155251,"NY",2008,"Republican"
"71","P00000002",10168929,"OH",2008,"Democrat"
"72","P00000003",8793499,"OH",2008,"Republican"
"73","P00000002",3071899,"OK",2008,"Democrat"
"74","P00000003",3127268,"OK",2008,"Republican"
"75","P00000002",8285691,"OR",2008,"Democrat"
"76","P00000003",2316542,"OR",2008,"Republican"
"77","P00000002",21967619,"PA",2008,"Democrat"
"78","P00000003",8031650,"PA",2008,"Republican"
"79","P00000002",2486707,"RI",2008,"Democrat"
"80","P00000003",644508,"RI",2008,"Republican"
"81","P00000002",3337216,"SC",2008,"Democrat"
"82","P00000003",4246923,"SC",2008,"Republican"
"83","P00000002",443474,"SD",2008,"Democrat"
"84","P00000003",574713,"SD",2008,"Republican"
"85","P00000002",4979023,"TN",2008,"Democrat"
"86","P00000003",7760642,"TN",2008,"Republican"
"87","P00000002",33326997,"TX",2008,"Democrat"
"88","P00000003",32975269,"TX",2008,"Republican"
"89","P00000002",2422545,"UT",2008,"Democrat"
"90","P00000003",6849886,"UT",2008,"Republican"
"91","P00000002",23675655,"VA",2008,"Democrat"
"92","P00000003",25042884,"VA",2008,"Republican"
"93","P00000002",2394571,"VT",2008,"Democrat"
"94","P00000003",347234,"VT",2008,"Republican"
"95","P00000002",20646470,"WA",2008,"Democrat"
"96","P00000003",4759979,"WA",2008,"Republican"
"97","P00000002",5876849,"WI",2008,"Democrat"
"98","P00000003",2967419,"WI",2008,"Republican"
"99","P00000002",1235645,"WV",2008,"Democrat"
"100","P00000003",558237,"WV",2008,"Republican"
"101","P00000002",895445,"WY",2008,"Democrat"
"102","P00000003",810061,"WY",2008,"Republican"
"103","P00000002",1361177,"AK",2012,"Democrat"
"104","P00000003",1029954,"AK",2012,"Republican"
"105","P00000002",2262094,"AL",2012,"Democrat"
"106","P00000003",5229480,"AL",2012,"Republican"
"107","P00000002",1274767,"AR",2012,"Democrat"
"108","P00000003",2395792,"AR",2012,"Republican"
"109","P00000002",6501129,"AZ",2012,"Democrat"
"110","P00000003",9638580,"AZ",2012,"Republican"
"111","P00000002",91679377,"CA",2012,"Democrat"
"112","P00000003",54849483,"CA",2012,"Republican"
"113","P00000002",11083932,"CO",2012,"Democrat"
"114","P00000003",11086998,"CO",2012,"Republican"
"115","P00000002",8299772,"CT",2012,"Democrat"
"116","P00000003",11161389,"CT",2012,"Republican"
"117","P00000002",13341374,"DC",2012,"Democrat"
"118","P00000003",3207518,"DC",2012,"Republican"
"119","P00000002",1327196,"DE",2012,"Democrat"
"120","P00000003",921478,"DE",2012,"Republican"
"121","P00000002",22735657,"FL",2012,"Democrat"
"122","P00000003",39736948,"FL",2012,"Republican"
"123","P00000002",9583961,"GA",2012,"Democrat"
"124","P00000003",15359655,"GA",2012,"Republican"
"125","P00000002",2549842,"HI",2012,"Democrat"
"126","P00000003",894338,"HI",2012,"Republican"
"127","P00000002",2532970,"IA",2012,"Democrat"
"128","P00000003",2997180,"IA",2012,"Republican"
"129","P00000002",981909,"ID",2012,"Democrat"
"130","P00000003",2942445,"ID",2012,"Republican"
"131","P00000002",25754949,"IL",2012,"Democrat"
"132","P00000003",16558965,"IL",2012,"Republican"
"133","P00000002",3935527,"IN",2012,"Democrat"
"134","P00000003",5111355,"IN",2012,"Republican"
"135","P00000002",1966039,"KS",2012,"Democrat"
"136","P00000003",3471369,"KS",2012,"Republican"
"137","P00000002",2452740,"KY",2012,"Democrat"
"138","P00000003",4122947,"KY",2012,"Republican"
"139","P00000002",2450614,"LA",2012,"Democrat"
"140","P00000003",6603712,"LA",2012,"Republican"
"141","P00000002",23948388,"MA",2012,"Democrat"
"142","P00000003",12879278,"MA",2012,"Republican"
"143","P00000002",19010101,"MD",2012,"Democrat"
"144","P00000003",7636832,"MD",2012,"Republican"
"145","P00000002",2798991,"ME",2012,"Democrat"
"146","P00000003",832493,"ME",2012,"Republican"
"147","P00000002",9702809,"MI",2012,"Democrat"
"148","P00000003",11473112,"MI",2012,"Republican"
"149","P00000002",7114613,"MN",2012,"Democrat"
"150","P00000003",6030967,"MN",2012,"Republican"
"151","P00000002",4754766,"MO",2012,"Democrat"
"152","P00000003",7759635,"MO",2012,"Republican"
"153","P00000002",966095,"MS",2012,"Democrat"
"154","P00000003",2999349,"MS",2012,"Republican"
"155","P00000002",1112607,"MT",2012,"Democrat"
"156","P00000003",1443523,"MT",2012,"Republican"
"157","P00000002",10399262,"NC",2012,"Democrat"
"158","P00000003",9596673,"NC",2012,"Republican"
"159","P00000002",277321,"ND",2012,"Democrat"
"160","P00000003",748701,"ND",2012,"Republican"
"161","P00000002",1060300,"NE",2012,"Democrat"
"162","P00000003",2444411,"NE",2012,"Republican"
"163","P00000002",2551995,"NH",2012,"Democrat"
"164","P00000003",2332964,"NH",2012,"Republican"
"165","P00000002",12723331,"NJ",2012,"Democrat"
"166","P00000003",12618201,"NJ",2012,"Republican"
"167","P00000002",3776351,"NM",2012,"Democrat"
"168","P00000003",2404633,"NM",2012,"Republican"
"169","P00000002",2563721,"NV",2012,"Democrat"
"170","P00000003",5332837,"NV",2012,"Republican"
"171","P00000002",50541462,"NY",2012,"Democrat"
"172","P00000003",29382980,"NY",2012,"Republican"
"173","P00000002",8491346,"OH",2012,"Democrat"
"174","P00000003",13986375,"OH",2012,"Republican"
"175","P00000002",2104529,"OK",2012,"Democrat"
"176","P00000003",6238710,"OK",2012,"Republican"
"177","P00000002",7565464,"OR",2012,"Democrat"
"178","P00000003",3579007,"OR",2012,"Republican"
"179","P00000002",15034598,"PA",2012,"Democrat"
"180","P00000003",15637752,"PA",2012,"Republican"
"181","P00000002",1512004,"RI",2012,"Democrat"
"182","P00000003",836052,"RI",2012,"Republican"
"183","P00000002",2732805,"SC",2012,"Democrat"
"184","P00000003",4902624,"SC",2012,"Republican"
"185","P00000002",400778,"SD",2012,"Democrat"
"186","P00000003",1065256,"SD",2012,"Republican"
"187","P00000002",4688625,"TN",2012,"Democrat"
"188","P00000003",8877902,"TN",2012,"Republican"
"189","P00000002",24225450,"TX",2012,"Democrat"
"190","P00000003",57710804,"TX",2012,"Republican"
"191","P00000002",1978823,"UT",2012,"Democrat"
"192","P00000003",9955243,"UT",2012,"Republican"
"193","P00000002",16850889,"VA",2012,"Democrat"
"194","P00000003",17806718,"VA",2012,"Republican"
"195","P00000002",2418441,"VT",2012,"Democrat"
"196","P00000003",428473,"VT",2012,"Republican"
"197","P00000002",16704163,"WA",2012,"Democrat"
"198","P00000003",8362220,"WA",2012,"Republican"
"199","P00000002",5131780,"WI",2012,"Democrat"
"200","P00000003",5557893,"WI",2012,"Republican"
"201","P00000002",893725,"WV",2012,"Democrat"
"202","P00000003",1415304,"WV",2012,"Republican"
"203","P00000002",753660,"WY",2012,"Democrat"
"204","P00000003",1744746,"WY",2012,"Republican"
"205","P00000002",959980,"AK",2016,"Democrat"
"206","P00000003",783998,"AK",2016,"Republican"
"207","P00000002",2191798,"AL",2016,"Democrat"
"208","P00000003",4214093,"AL",2016,"Republican"
"209","P00000002",2729718,"AR",2016,"Democrat"
"210","P00000003",2356433,"AR",2016,"Republican"
"211","P00000002",6009453,"AZ",2016,"Democrat"
"212","P00000003",6631929,"AZ",2016,"Republican"
"213","P00000002",114485560,"CA",2016,"Democrat"
"214","P00000003",36453786,"CA",2016,"Republican"
"215","P00000002",10990766,"CO",2016,"Democrat"
"216","P00000003",5902548,"CO",2016,"Republican"
"217","P00000002",9690269,"CT",2016,"Democrat"
"218","P00000003",4244105,"CT",2016,"Republican"
"219","P00000002",18416054,"DC",2016,"Democrat"
"220","P00000003",2007230,"DC",2016,"Republican"
"221","P00000002",968819,"DE",2016,"Democrat"
"222","P00000003",569740,"DE",2016,"Republican"
"223","P00000002",25519391,"FL",2016,"Democrat"
"224","P00000003",32225392,"FL",2016,"Republican"
"225","P00000002",8178681,"GA",2016,"Democrat"
"226","P00000003",9376105,"GA",2016,"Republican"
"227","P00000002",1765520,"HI",2016,"Democrat"
"228","P00000003",712631,"HI",2016,"Republican"
"229","P00000002",2445793,"IA",2016,"Democrat"
"230","P00000003",2326484,"IA",2016,"Republican"
"231","P00000002",914712,"ID",2016,"Democrat"
"232","P00000003",1421100,"ID",2016,"Republican"
"233","P00000002",19701510,"IL",2016,"Democrat"
"234","P00000003",8504586,"IL",2016,"Republican"
"235","P00000002",3396218,"IN",2016,"Democrat"
"236","P00000003",4286122,"IN",2016,"Republican"
"237","P00000002",1795051,"KS",2016,"Democrat"
"238","P00000003",2245207,"KS",2016,"Republican"
"239","P00000002",2311397,"KY",2016,"Democrat"
"240","P00000003",2622118,"KY",2016,"Republican"
"241","P00000002",2342054,"LA",2016,"Democrat"
"242","P00000003",5110288,"LA",2016,"Republican"
"243","P00000002",26409930,"MA",2016,"Democrat"
"244","P00000003",4688091,"MA",2016,"Republican"
"245","P00000002",19723304,"MD",2016,"Democrat"
"246","P00000003",4612924,"MD",2016,"Republican"
"247","P00000002",2517040,"ME",2016,"Democrat"
"248","P00000003",731918,"ME",2016,"Republican"
"249","P00000002",8610223,"MI",2016,"Democrat"
"250","P00000003",7428274,"MI",2016,"Republican"
"251","P00000002",6753266,"MN",2016,"Democrat"
"252","P00000003",3267721,"MN",2016,"Republican"
"253","P00000002",5244030,"MO",2016,"Democrat"
"254","P00000003",4572118,"MO",2016,"Republican"
"255","P00000002",751481,"MS",2016,"Democrat"
"256","P00000003",2296604,"MS",2016,"Republican"
"257","P00000002",870148,"MT",2016,"Democrat"
"258","P00000003",1193385,"MT",2016,"Republican"
"259","P00000002",8409946,"NC",2016,"Democrat"
"260","P00000003",7162445,"NC",2016,"Republican"
"261","P00000002",318967,"ND",2016,"Democrat"
"262","P00000003",557231,"ND",2016,"Republican"
"263","P00000002",1183410,"NE",2016,"Democrat"
"264","P00000003",1261768,"NE",2016,"Republican"
"265","P00000002",2682258,"NH",2016,"Democrat"
"266","P00000003",1383334,"NH",2016,"Republican"
"267","P00000002",14469743,"NJ",2016,"Democrat"
"268","P00000003",10368438,"NJ",2016,"Republican"
"269","P00000002",3678804,"NM",2016,"Democrat"
"270","P00000003",1605877,"NM",2016,"Republican"
"271","P00000002",3029864,"NV",2016,"Democrat"
"272","P00000003",3528822,"NV",2016,"Republican"
"273","P00000002",73221182,"NY",2016,"Democrat"
"274","P00000003",17513009,"NY",2016,"Republican"
"275","P00000002",8175206,"OH",2016,"Democrat"
"276","P00000003",11731124,"OH",2016,"Republican"
"277","P00000002",2529075,"OK",2016,"Democrat"
"278","P00000003",3978000,"OK",2016,"Republican"
"279","P00000002",7882339,"OR",2016,"Democrat"
"280","P00000003",2566984,"OR",2016,"Republican"
"281","P00000002",15349076,"PA",2016,"Democrat"
"282","P00000003",9698602,"PA",2016,"Republican"
"283","P00000002",2132277,"RI",2016,"Democrat"
"284","P00000003",445911,"RI",2016,"Republican"
"285","P00000002",2793941,"SC",2016,"Democrat"
"286","P00000003",5595078,"SC",2016,"Republican"
"287","P00000002",519895,"SD",2016,"Democrat"
"288","P00000003",687402,"SD",2016,"Republican"
"289","P00000002",4609846,"TN",2016,"Democrat"
"290","P00000003",6499342,"TN",2016,"Republican"
"291","P00000002",26331445,"TX",2016,"Democrat"
"292","P00000003",49070876,"TX",2016,"Republican"
"293","P00000002",1799371,"UT",2016,"Democrat"
"294","P00000003",2014960,"UT",2016,"Republican"
"295","P00000002",18284486,"VA",2016,"Democrat"
"296","P00000003",10085853,"VA",2016,"Republican"
"297","P00000002",3379976,"VT",2016,"Democrat"
"298","P00000003",297492,"VT",2016,"Republican"
"299","P00000002",18489510,"WA",2016,"Democrat"
"300","P00000003",5586867,"WA",2016,"Republican"
"301","P00000002",4140475,"WI",2016,"Democrat"
"302","P00000003",4245120,"WI",2016,"Republican"
"303","P00000002",871258,"WV",2016,"Democrat"
"304","P00000003",918101,"WV",2016,"Republican"
"305","P00000002",569261,"WY",2016,"Democrat"
"306","P00000003",1089820,"WY",2016,"Republican"
"307","P00000002",1911453,"AK",2020,"Democrat"
"308","P00000003",1950698,"AK",2020,"Republican"
"309","P00000002",3746705,"AL",2020,"Democrat"
"310","P00000003",7521141,"AL",2020,"Republican"
"311","P00000002",2791352,"AR",2020,"Democrat"
"312","P00000003",3531598,"AR",2020,"Republican"
"313","P00000002",12894130,"AZ",2020,"Democrat"
"314","P00000003",16402788,"AZ",2020,"Republican"
"315","P00000002",219790445,"CA",2020,"Democrat"
"316","P00000003",69829900,"CA",2020,"Republican"
"317","P00000002",25227060,"CO",2020,"Democrat"
"318","P00000003",11978377,"CO",2020,"Republican"
"319","P00000002",17092854,"CT",2020,"Democrat"
"320","P00000003",4890336,"CT",2020,"Republican"
"321","P00000002",27874657,"DC",2020,"Democrat"
"322","P00000003",1079689,"DC",2020,"Republican"
"323","P00000002",5159126,"DE",2020,"Democrat"
"324","P00000003",1399598,"DE",2020,"Republican"
"325","P00000002",46157655,"FL",2020,"Democrat"
"326","P00000003",57571500,"FL",2020,"Republican"
"327","P00000002",16557217,"GA",2020,"Democrat"
"328","P00000003",17888489,"GA",2020,"Republican"
"329","P00000002",3706692,"HI",2020,"Democrat"
"330","P00000003",1968488,"HI",2020,"Republican"
"331","P00000002",4667952,"IA",2020,"Democrat"
"332","P00000003",3576921,"IA",2020,"Republican"
"333","P00000002",2832017,"ID",2020,"Democrat"
"334","P00000003",3561084,"ID",2020,"Republican"
"335","P00000002",37687929,"IL",2020,"Democrat"
"336","P00000003",14337710,"IL",2020,"Republican"
"337","P00000002",8627802,"IN",2020,"Democrat"
"338","P00000003",8057227,"IN",2020,"Republican"
"339","P00000002",3423574,"KS",2020,"Democrat"
"340","P00000003",4518335,"KS",2020,"Republican"
"341","P00000002",4142992,"KY",2020,"Democrat"
"342","P00000003",4851915,"KY",2020,"Republican"
"343","P00000002",4193469,"LA",2020,"Democrat"
"344","P00000003",7632807,"LA",2020,"Republican"
"345","P00000002",51344538,"MA",2020,"Democrat"
"346","P00000003",7739804,"MA",2020,"Republican"
"347","P00000002",33815299,"MD",2020,"Democrat"
"348","P00000003",7809911,"MD",2020,"Republican"
"349","P00000002",4237154,"ME",2020,"Democrat"
"350","P00000003",1311781,"ME",2020,"Republican"
"351","P00000002",16959373,"MI",2020,"Democrat"
"352","P00000003",13866122,"MI",2020,"Republican"
"353","P00000002",17124304,"MN",2020,"Democrat"
"354","P00000003",6861724,"MN",2020,"Republican"
"355","P00000002",8613654,"MO",2020,"Democrat"
"356","P00000003",7955166,"MO",2020,"Republican"
"357","P00000002",1221725,"MS",2020,"Democrat"
"358","P00000003",3677040,"MS",2020,"Republican"
"359","P00000002",2338298,"MT",2020,"Democrat"
"360","P00000003",2469678,"MT",2020,"Republican"
"361","P00000002",18678848,"NC",2020,"Democrat"
"362","P00000003",14480288,"NC",2020,"Republican"
"363","P00000002",559003,"ND",2020,"Democrat"
"364","P00000003",1440470,"ND",2020,"Republican"
"365","P00000002",2032503,"NE",2020,"Democrat"
"366","P00000003",2742917,"NE",2020,"Republican"
"367","P00000002",5652268,"NH",2020,"Democrat"
"368","P00000003",2366031,"NH",2020,"Republican"
"369","P00000002",29651735,"NJ",2020,"Democrat"
"370","P00000003",12825137,"NJ",2020,"Republican"
"371","P00000002",6459596,"NM",2020,"Democrat"
"372","P00000003",3901218,"NM",2020,"Republican"
"373","P00000002",6171644,"NV",2020,"Democrat"
"374","P00000003",8199000,"NV",2020,"Republican"
"375","P00000002",111435254,"NY",2020,"Democrat"
"376","P00000003",29785037,"NY",2020,"Republican"
"377","P00000002",17503539,"OH",2020,"Democrat"
"378","P00000003",15600088,"OH",2020,"Republican"
"379","P00000002",3673026,"OK",2020,"Democrat"
"380","P00000003",6677967,"OK",2020,"Republican"
"381","P00000002",18445759,"OR",2020,"Democrat"
"382","P00000003",6253834,"OR",2020,"Republican"
"383","P00000002",34252589,"PA",2020,"Democrat"
"384","P00000003",16044984,"PA",2020,"Republican"
"385","P00000002",3733898,"RI",2020,"Democrat"
"386","P00000003",905164,"RI",2020,"Republican"
"387","P00000002",6327315,"SC",2020,"Democrat"
"388","P00000003",7730517,"SC",2020,"Republican"
"389","P00000002",956368,"SD",2020,"Democrat"
"390","P00000003",1493142,"SD",2020,"Republican"
"391","P00000002",9460606,"TN",2020,"Democrat"
"392","P00000003",10748966,"TN",2020,"Republican"
"393","P00000002",49196865,"TX",2020,"Democrat"
"394","P00000003",59397308,"TX",2020,"Republican"
"395","P00000002",4425607,"UT",2020,"Democrat"
"396","P00000003",3720442,"UT",2020,"Republican"
"397","P00000002",33861247,"VA",2020,"Democrat"
"398","P00000003",13087544,"VA",2020,"Republican"
"399","P00000002",3889864,"VT",2020,"Democrat"
"400","P00000003",419443,"VT",2020,"Republican"
"401","P00000002",46014645,"WA",2020,"Democrat"
"402","P00000003",11486798,"WA",2020,"Republican"
"403","P00000002",9520563,"WI",2020,"Democrat"
"404","P00000003",6742162,"WI",2020,"Republican"
"405","P00000002",1410340,"WV",2020,"Democrat"
"406","P00000003",1679947,"WV",2020,"Republican"
"407","P00000002",1334227,"WY",2020,"Democrat"
"408","P00000003",1637385,"WY",2020,"Republican"
"409","P00000002",1031488,"AK",2024,"Democrat"
"410","P00000003",1190772,"AK",2024,"Republican"
"411","P00000002",2052740,"AL",2024,"Democrat"
"412","P00000003",4878578,"AL",2024,"Republican"
"413","P00000002",1313159,"AR",2024,"Democrat"
"414","P00000003",3271587,"AR",2024,"Republican"
"415","P00000002",7499436,"AZ",2024,"Democrat"
"416","P00000003",10310382,"AZ",2024,"Republican"
"417","P00000002",94055992,"CA",2024,"Democrat"
"418","P00000003",42342617,"CA",2024,"Republican"
"419","P00000002",11822126,"CO",2024,"Democrat"
"420","P00000003",7362659,"CO",2024,"Republican"
"421","P00000002",7790669,"CT",2024,"Democrat"
"422","P00000003",4168569,"CT",2024,"Republican"
"423","P00000002",11075700,"DC",2024,"Democrat"
"424","P00000003",1265538,"DC",2024,"Republican"
"425","P00000002",2245929,"DE",2024,"Democrat"
"426","P00000003",894599,"DE",2024,"Republican"
"427","P00000002",22443983,"FL",2024,"Democrat"
"428","P00000003",49028626,"FL",2024,"Republican"
"429","P00000002",8695635,"GA",2024,"Democrat"
"430","P00000003",12413580,"GA",2024,"Republican"
"431","P00000002",2034742,"HI",2024,"Democrat"
"432","P00000003",958825,"HI",2024,"Republican"
"433","P00000002",2023609,"IA",2024,"Democrat"
"434","P00000003",2477676,"IA",2024,"Republican"
"435","P00000002",1424932,"ID",2024,"Democrat"
"436","P00000003",2574048,"ID",2024,"Republican"
"437","P00000002",17676977,"IL",2024,"Democrat"
"438","P00000003",9211307,"IL",2024,"Republican"
"439","P00000002",3560072,"IN",2024,"Democrat"
"440","P00000003",5781095,"IN",2024,"Republican"
"441","P00000002",2075603,"KS",2024,"Democrat"
"442","P00000003",3050273,"KS",2024,"Republican"
"443","P00000002",2291508,"KY",2024,"Democrat"
"444","P00000003",3248481,"KY",2024,"Republican"
"445","P00000002",1921695,"LA",2024,"Democrat"
"446","P00000003",4739271,"LA",2024,"Republican"
"447","P00000002",24048934,"MA",2024,"Democrat"
"448","P00000003",6025623,"MA",2024,"Republican"
"449","P00000002",15359088,"MD",2024,"Democrat"
"450","P00000003",5159187,"MD",2024,"Republican"
"451","P00000002",3424830,"ME",2024,"Democrat"
"452","P00000003",999661,"ME",2024,"Republican"
"453","P00000002",9033867,"MI",2024,"Democrat"
"454","P00000003",8067070,"MI",2024,"Republican"
"455","P00000002",9409398,"MN",2024,"Democrat"
"456","P00000003",4604554,"MN",2024,"Republican"
"457","P00000002",4518719,"MO",2024,"Democrat"
"458","P00000003",5420686,"MO",2024,"Republican"
"459","P00000002",578493,"MS",2024,"Democrat"
"460","P00000003",2337623,"MS",2024,"Republican"
"461","P00000002",1182112,"MT",2024,"Democrat"
"462","P00000003",1777229,"MT",2024,"Republican"
"463","P00000002",11394801,"NC",2024,"Democrat"
"464","P00000003",10417531,"NC",2024,"Republican"
"465","P00000002",288903,"ND",2024,"Democrat"
"466","P00000003",1620774,"ND",2024,"Republican"
"467","P00000002",1084722,"NE",2024,"Democrat"
"468","P00000003",1819112,"NE",2024,"Republican"
"469","P00000002",2820753,"NH",2024,"Democrat"
"470","P00000003",1922894,"NH",2024,"Republican"
"471","P00000002",11688907,"NJ",2024,"Democrat"
"472","P00000003",10221553,"NJ",2024,"Republican"
"473","P00000002",4261103,"NM",2024,"Democrat"
"474","P00000003",1990526,"NM",2024,"Republican"
"475","P00000002",2917749,"NV",2024,"Democrat"
"476","P00000003",5396288,"NV",2024,"Republican"
"477","P00000002",42612692,"NY",2024,"Democrat"
"478","P00000003",17262787,"NY",2024,"Republican"
"479","P00000002",7862906,"OH",2024,"Democrat"
"480","P00000003",10215188,"OH",2024,"Republican"
"481","P00000002",1830475,"OK",2024,"Democrat"
"482","P00000003",4289054,"OK",2024,"Republican"
"483","P00000002",9719134,"OR",2024,"Democrat"
"484","P00000003",3980484,"OR",2024,"Republican"
"485","P00000002",15255178,"PA",2024,"Democrat"
"486","P00000003",11176222,"PA",2024,"Republican"
"487","P00000002",1907590,"RI",2024,"Democrat"
"488","P00000003",599518,"RI",2024,"Republican"
"489","P00000002",3152824,"SC",2024,"Democrat"
"490","P00000003",10991029,"SC",2024,"Republican"
"491","P00000002",446622,"SD",2024,"Democrat"
"492","P00000003",1188034,"SD",2024,"Republican"
"493","P00000002",4643951,"TN",2024,"Democrat"
"494","P00000003",9234893,"TN",2024,"Republican"
"495","P00000002",21850970,"TX",2024,"Democrat"
"496","P00000003",40212881,"TX",2024,"Republican"
"497","P00000002",2965110,"UT",2024,"Democrat"
"498","P00000003",3145176,"UT",2024,"Republican"
"499","P00000002",15971742,"VA",2024,"Democrat"
"500","P00000003",10399127,"VA",2024,"Republican"
"501","P00000002",2174648,"VT",2024,"Democrat"
"502","P00000003",359538,"VT",2024,"Republican"
"503","P00000002",22928073,"WA",2024,"Democrat"
"504","P00000003",7735057,"WA",2024,"Republican"
"505","P00000002",5633297,"WI",2024,"Democrat"
"506","P00000003",4705618,"WI",2024,"Republican"
"507","P00000002",817645,"WV",2024,"Democrat"
"508","P00000003",1196740,"WV",2024,"Republican"
"509","P00000002",619780,"WY",2024,"Democrat"
"510","P00000003",1451448,"WY",2024,"Republican"
